Date,CountryRegion,ProvinceState,CumulativeConfirmed,DailyConfirmed,CumulativeDeaths,DailyDeaths
2/16/2020,Antigua and Barbuda,,0,0,0,0
2/17/2020,Antigua and Barbuda,,0,0,0,0
2/18/2020,Antigua and Barbuda,,0,0,0,0
2/19/2020,Antigua and Barbuda,,0,0,0,0
2/20/2020,Antigua and Barbuda,,0,0,0,0
2/21/2020,Antigua and Barbuda,,0,0,0,0
2/22/2020,Antigua and Barbuda,,0,0,0,0
2/23/2020,Antigua and Barbuda,,0,0,0,0
2/24/2020,Antigua and Barbuda,,0,0,0,0
2/25/2020,Antigua and Barbuda,,0,0,0,0
2/26/2020,Antigua and Barbuda,,0,0,0,0
2/27/2020,Antigua and Barbuda,,0,0,0,0
2/28/2020,Antigua and Barbuda,,0,0,0,0
2/29/2020,Antigua and Barbuda,,0,0,0,0
3/1/2020,Antigua and Barbuda,,0,0,0,0
3/2/2020,Antigua and Barbuda,,0,0,0,0
3/3/2020,Antigua and Barbuda,,0,0,0,0
3/4/2020,Antigua and Barbuda,,0,0,0,0
3/5/2020,Antigua and Barbuda,,0,0,0,0
3/6/2020,Antigua and Barbuda,,0,0,0,0
3/7/2020,Antigua and Barbuda,,0,0,0,0
3/8/2020,Antigua and Barbuda,,0,0,0,0
3/9/2020,Antigua and Barbuda,,0,0,0,0
3/10/2020,Antigua and Barbuda,,0,0,0,0
3/11/2020,Antigua and Barbuda,,0,0,0,0
3/12/2020,Antigua and Barbuda,,0,0,0,0
3/13/2020,Antigua and Barbuda,,1,1,0,0
3/14/2020,Antigua and Barbuda,,1,0,0,0
3/15/2020,Antigua and Barbuda,,1,0,0,0
3/16/2020,Antigua and Barbuda,,1,0,0,0
3/17/2020,Antigua and Barbuda,,1,0,0,0
3/18/2020,Antigua and Barbuda,,1,0,0,0
3/19/2020,Antigua and Barbuda,,1,0,0,0
3/20/2020,Antigua and Barbuda,,1,0,0,0
3/21/2020,Antigua and Barbuda,,1,0,0,0
3/22/2020,Antigua and Barbuda,,1,0,0,0
3/23/2020,Antigua and Barbuda,,3,2,0,0
3/24/2020,Antigua and Barbuda,,3,0,0,0
3/25/2020,Antigua and Barbuda,,3,0,0,0
3/26/2020,Antigua and Barbuda,,7,4,0,0
1/22/2020,Argentina,,0,0,0,0
1/23/2020,Argentina,,0,0,0,0
1/24/2020,Argentina,,0,0,0,0
1/25/2020,Argentina,,0,0,0,0
1/26/2020,Argentina,,0,0,0,0
1/27/2020,Argentina,,0,0,0,0
1/28/2020,Argentina,,0,0,0,0
1/29/2020,Argentina,,0,0,0,0
1/30/2020,Argentina,,0,0,0,0
1/31/2020,Argentina,,0,0,0,0
2/1/2020,Argentina,,0,0,0,0
2/2/2020,Argentina,,0,0,0,0
2/3/2020,Argentina,,0,0,0,0
2/4/2020,Argentina,,0,0,0,0
2/5/2020,Argentina,,0,0,0,0
2/6/2020,Argentina,,0,0,0,0
2/7/2020,Argentina,,0,0,0,0
2/8/2020,Argentina,,0,0,0,0
2/9/2020,Argentina,,0,0,0,0
2/10/2020,Argentina,,0,0,0,0
2/11/2020,Argentina,,0,0,0,0
2/12/2020,Argentina,,0,0,0,0
2/13/2020,Argentina,,0,0,0,0
2/14/2020,Argentina,,0,0,0,0
2/15/2020,Argentina,,0,0,0,0
2/16/2020,Argentina,,0,0,0,0
2/17/2020,Argentina,,0,0,0,0
2/18/2020,Argentina,,0,0,0,0
2/19/2020,Argentina,,0,0,0,0
2/20/2020,Argentina,,0,0,0,0
2/21/2020,Argentina,,0,0,0,0
2/22/2020,Argentina,,0,0,0,0
2/23/2020,Argentina,,0,0,0,0
2/24/2020,Argentina,,0,0,0,0
2/25/2020,Argentina,,0,0,0,0
2/26/2020,Argentina,,0,0,0,0
2/27/2020,Argentina,,0,0,0,0
2/28/2020,Argentina,,0,0,0,0
2/29/2020,Argentina,,0,0,0,0
3/1/2020,Argentina,,0,0,0,0
3/2/2020,Argentina,,0,0,0,0
3/3/2020,Argentina,,1,1,0,0
3/4/2020,Argentina,,1,0,0,0
3/5/2020,Argentina,,1,0,0,0
3/6/2020,Argentina,,2,1,0,0
3/7/2020,Argentina,,8,6,0,0
3/8/2020,Argentina,,12,4,1,1
3/9/2020,Argentina,,12,0,1,0
3/10/2020,Argentina,,17,5,1,0
3/11/2020,Argentina,,19,2,1,0
3/12/2020,Argentina,,19,0,1,0
3/13/2020,Argentina,,31,12,2,1
3/14/2020,Argentina,,34,3,2,0
3/15/2020,Argentina,,45,11,2,0
3/16/2020,Argentina,,56,11,2,0
3/17/2020,Argentina,,68,12,2,0
3/18/2020,Argentina,,79,11,2,0
3/19/2020,Argentina,,97,18,3,1
3/20/2020,Argentina,,128,31,3,0
3/21/2020,Argentina,,158,30,4,1
3/22/2020,Argentina,,225,67,4,0
3/23/2020,Argentina,,266,41,4,0
3/24/2020,Argentina,,387,121,6,2
3/25/2020,Argentina,,387,0,8,2
3/26/2020,Argentina,,502,115,9,1
1/22/2020,Armenia,,0,0,0,0
1/23/2020,Armenia,,0,0,0,0
1/24/2020,Armenia,,0,0,0,0
1/25/2020,Armenia,,0,0,0,0
1/26/2020,Armenia,,0,0,0,0
1/27/2020,Armenia,,0,0,0,0
1/28/2020,Armenia,,0,0,0,0
1/29/2020,Armenia,,0,0,0,0
1/30/2020,Armenia,,0,0,0,0
1/31/2020,Armenia,,0,0,0,0
2/1/2020,Armenia,,0,0,0,0
2/2/2020,Armenia,,0,0,0,0
2/3/2020,Armenia,,0,0,0,0
2/4/2020,Armenia,,0,0,0,0
2/5/2020,Armenia,,0,0,0,0
2/6/2020,Armenia,,0,0,0,0
2/7/2020,Armenia,,0,0,0,0
2/8/2020,Armenia,,0,0,0,0
2/9/2020,Armenia,,0,0,0,0
2/10/2020,Armenia,,0,0,0,0
2/11/2020,Armenia,,0,0,0,0
2/12/2020,Armenia,,0,0,0,0
2/13/2020,Armenia,,0,0,0,0
2/14/2020,Armenia,,0,0,0,0
2/15/2020,Armenia,,0,0,0,0
2/16/2020,Armenia,,0,0,0,0
2/17/2020,Armenia,,0,0,0,0
2/18/2020,Armenia,,0,0,0,0
2/19/2020,Armenia,,0,0,0,0
2/20/2020,Armenia,,0,0,0,0
2/21/2020,Armenia,,0,0,0,0
2/22/2020,Armenia,,0,0,0,0
2/23/2020,Armenia,,0,0,0,0
2/24/2020,Armenia,,0,0,0,0
2/25/2020,Armenia,,0,0,0,0
2/26/2020,Armenia,,0,0,0,0
2/27/2020,Armenia,,0,0,0,0
2/28/2020,Armenia,,0,0,0,0
2/29/2020,Armenia,,0,0,0,0
3/1/2020,Armenia,,1,1,0,0
3/2/2020,Armenia,,1,0,0,0
3/3/2020,Armenia,,1,0,0,0
3/4/2020,Armenia,,1,0,0,0
3/5/2020,Armenia,,1,0,0,0
3/6/2020,Armenia,,1,0,0,0
3/7/2020,Armenia,,1,0,0,0
